id,poliparty_ego,poliparty_alter1,poliparty_alter2,poliparty_alter3,poliparty_alter4,poliparty_alter5,poliparty_alter6,poliparty_alter7,poliparty_alter8,poliparty_alter9,poliparty_alter10,poliparty_alter11,poliparty_alter12,poliparty_alter13,poliparty_alter14,poliparty_alter15
A2QFZ2524HID2B,1 - Republican Party,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,,,,
A248LF7KKHXZ14,2 - Democratic Party,Yes,Yes,,,,,No,No,,,,,,,
A2TLN8489YGY81,2 - Democratic Party,No,Yes,Yes,Yes,Yes,,,,,,,,,,
A2TKFZQRNAZS1L,2 - Democratic Party,No,No,,,,,,,,,,,,,
A36CZ0F88ELFWF,2 - Democratic Party,Yes,Yes,,,,,,,,,,,,,
A4M0D0IZH9XCE,1 - Republican Party,Yes,,,,,No,Yes,,,,Yes,Yes,,,
A17PORAJCUTBBB,1 - Republican Party,Yes,Yes,Yes,Yes,Yes,,,Yes,No,Yes,,,,,
A11YS0T8MV3Q7C,1 - Republican Party,No,Yes,No,,,,,,,,,,,,
AIQM86IRETAJN,2 - Democratic Party,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,,,,
A2EJ06OGI9671Q,2 - Democratic Party,,,,,,Yes,No,No,No,,,,,,
A2NMLTECRDWFN2,1 - Republican Party,No,Yes,No,No,No,Yes,,,,,,,,,
AYPOAY43REHC8,1 - Republican Party,Yes,Yes,No,No,Yes,,,,,,,,,,
A2ONILC0LZKG6Y,2 - Democratic Party,No,No,Yes,Yes,,,,,,,,,,,
AVJUIF9QHQRY8,2 - Democratic Party,Yes,Yes,Yes,,,,Yes,Yes,,,,Yes,Yes,,
A1ORN2IYM8HEE3,1 - Republican Party,Yes,Yes,Yes,No,Yes,,,,,,,,,,
A163XFZG5BI0XU,1 - Republican Party,Yes,Yes,Yes,,,,,,,,,,,,
A3FJCLBK3HF4PD,2 - Democratic Party,Yes,No,Yes,,,,,,,,,,,,
A2ZZW6KME1FUDU,1 - Republican Party,Yes,Yes,No,Yes,,,Yes,,Yes,,,,,,
A7TI4X4LRGQA0,1 - Republican Party,No,Yes,No,,,,,,,,,,,,
A3O0QZQ4V2IXT7,1 - Republican Party,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,
A24FN5BK5L9I2S,2 - Democratic Party,Yes,Yes,,,,,,,,,Yes,Yes,,,
A1ZJE1T7Q75321,2 - Democratic Party,No,Yes,Yes,Yes,Yes,,Yes,No,,,,,,,
A150GMV1YQWWB3,2 - Democratic Party,Yes,Yes,No,Yes,,,,,,,,,,,
A171S8E9IFSHH2,1 - Republican Party,,No,No,,,Yes,No,,,,,No,,,
